param_damping,param_convergence_iter,mean_test_refit,mean_test_nm,mean_test_comp,mean_test_homo,mean_fit_time
0.6,12,0.698859051,0.677374964,0.498185745,0.921016445,0.293547312
0.6,6,0.698859051,0.677374964,0.498185745,0.921016445,0.294213454
0.6,24,0.698859051,0.677374964,0.498185745,0.921016445,0.304518223
0.5,24,0.696155569,0.674382974,0.49464317,0.919440564,0.303521872
0.5,12,0.696155569,0.674382974,0.49464317,0.919440564,0.339424928
0.5,6,0.696155569,0.674382974,0.49464317,0.919440564,0.296873093
0.7,30,0.691761201,0.672354264,0.501485226,0.901444113,0.3045187
0.7,12,0.691761201,0.672354264,0.501485226,0.901444113,0.29787008
0.7,24,0.691761201,0.672354264,0.501485226,0.901444113,0.317816099
0.7,6,0.691761201,0.672354264,0.501485226,0.901444113,0.294545015
0.8,12,0.675509772,0.664313341,0.531019927,0.831196049,0.296207825
0.8,18,0.675509772,0.664313341,0.531019927,0.831196049,0.297537486
0.8,24,0.675509772,0.664313341,0.531019927,0.831196049,0.294213057
0.8,30,0.675509772,0.664313341,0.531019927,0.831196049,0.327125788
0.7,1,0.211713095,0.15019266,0.418763895,0.066182729,0.142950773
0.9,18,0.211713095,0.15019266,0.418763895,0.066182729,0.30850784
0.9,12,0.211713095,0.15019266,0.418763895,0.066182729,0.311832269
0.9,24,0.211713095,0.15019266,0.418763895,0.066182729,0.352723519
0.8,1,0.211713095,0.15019266,0.418763895,0.066182729,0.149267197
0.6,1,0.211713095,0.15019266,0.418763895,0.066182729,0.14594388
