param_affinity,param_linkage,mean_test_refit,mean_test_nm,mean_test_comp,mean_test_homo,mean_fit_time
cosine,average,0.7373624900551417,0.7366218458724415,0.7752921409971286,0.700173483295855,0.05119490623474121
cosine,complete,0.6247220368983828,0.6246767473829828,0.6333118180676266,0.6161775452445387,0.05550885200500488
l1,complete,0.48114569549361025,0.47638472779638824,0.5579378953813297,0.40911446330311285,0.051518917083740234
manhattan,complete,0.48114569549361025,0.47638472779638824,0.5579378953813297,0.40911446330311285,0.05120706558227539
l1,average,0.23314490079715955,0.18160705800732035,0.4420328423462152,0.07579480203794303,0.04920276006062826
manhattan,average,0.23314490079715955,0.18160705800732035,0.4420328423462152,0.07579480203794303,0.04886809984842936
euclidean,complete,0.20664162530800906,0.17332851453721132,0.35929813839671787,0.08729822299009792,0.05917509396870931
l2,complete,0.20664162530800906,0.17332851453721132,0.35929813839671787,0.08729822299009792,0.05416623751322428
euclidean,average,0.15179127701284686,0.10238116074485466,0.31987933048619793,0.03311333980748808,0.05253720283508301
l2,average,0.15179127701284686,0.10238116074485466,0.31987933048619793,0.03311333980748808,0.052535295486450195
l1,single,0.1385921798951203,0.07502140516950036,0.3233102222987138,0.017444912217146728,0.03690036137898763
manhattan,single,0.1385921798951203,0.07502140516950036,0.3233102222987138,0.017444912217146728,0.036904335021972656
euclidean,single,0.13341514446095606,0.0729511019908546,0.31008979400195746,0.01720453739005622,0.03989362716674805
l2,single,0.13341514446095606,0.0729511019908546,0.31008979400195746,0.01720453739005622,0.039892355600992836
cosine,single,0.13167105047070365,0.07206085023822587,0.305959183519811,0.016993117654074172,0.03789997100830078
