param_assign_labels,param_affinity,param_n_neighbors,mean_test_refit,mean_test_nm,mean_test_comp,mean_test_homo,mean_fit_time
kmeans,nearest_neighbors,7,0.8039661514467553,0.8037368770091495,0.826086502709677,0.7820750746214394,0.17518122990926108
discretize,nearest_neighbors,7,0.7973427036130839,0.797252705243596,0.8117803010697018,0.7829951045259543,0.14526899655659994
kmeans,nearest_neighbors,10,0.7893670377790236,0.7892502050758127,0.8059836356000915,0.7728672726611664,0.18482168515523276
discretize,nearest_neighbors,10,0.7735578980287049,0.7734765806800317,0.7871188591116249,0.7600782542944583,0.1515946388244629
kmeans,nearest_neighbors,15,0.7709298982245115,0.7708416412211995,0.7848785542514192,0.7570694992009154,0.20044406255086264
discretize,nearest_neighbors,3,0.7556501299863315,0.7549386105151471,0.7899245286948797,0.722087250748968,0.19047188758850098
discretize,nearest_neighbors,30,0.7256423017946796,0.7256298900334878,0.7303101686849564,0.7209868466655948,0.20577287673950195
kmeans,nearest_neighbors,50,0.6839365664107644,0.6839112845087479,0.6907860800081336,0.6771123347154114,0.2842292785644531
discretize,nearest_neighbors,50,0.6814742781775595,0.6814691094985347,0.6845198286908324,0.6784338963433115,0.23369884490966797
discretize,rbf,30,0.11816770832659185,0.06699149924915174,0.27078378655347846,0.016727839177145425,54.17607887585958
discretize,rbf,15,0.11816770832659185,0.06699149924915174,0.27078378655347846,0.016727839177145425,60.13383404413859
discretize,rbf,3,0.11816770832659185,0.06699149924915174,0.27078378655347846,0.016727839177145425,53.57702914873759
discretize,rbf,10,0.11816770832659185,0.06699149924915174,0.27078378655347846,0.016727839177145425,54.844655672709145
discretize,rbf,50,0.11816770832659185,0.06699149924915174,0.27078378655347846,0.016727839177145425,54.284156243006386
discretize,rbf,7,0.11816770832659185,0.06699149924915174,0.27078378655347846,0.016727839177145425,53.32737056414286
kmeans,rbf,10,0.113450784639872,0.025966959037832124,0.3121622290405362,0.002223165841247586,63.2439394791921
kmeans,rbf,30,0.113450784639872,0.025966959037832124,0.3121622290405362,0.002223165841247586,54.6056182384491
kmeans,rbf,3,0.113450784639872,0.025966959037832124,0.3121622290405362,0.002223165841247586,63.86770764986674
kmeans,rbf,7,0.113450784639872,0.025966959037832124,0.3121622290405362,0.002223165841247586,55.491249879201256
kmeans,rbf,50,0.113450784639872,0.025966959037832124,0.3121622290405362,0.002223165841247586,54.89683977762858
