param_eps,param_min_samples,param_metric,mean_test_refit,mean_test_nm,mean_test_comp,mean_test_homo,mean_fit_time
1.5,10,euclidean,0.7500000000000001,1.25,1.0,1.5603199371065453e-16,97.01902556419373
20,10,l2,0.7500000000000001,1.25,1.0,1.5603199371065453e-16,4.4989393552144366
1.5,100,l2,0.7500000000000001,1.25,1.0,1.5603199371065453e-16,97.02424558003743
20,50,l2,0.7500000000000001,1.25,1.0,1.5603199371065453e-16,4.504156192143758
1,9,l1,0.7500000000000001,1.25,1.0,1.5603199371065453e-16,6.883809248606364
0.5,50,l2,0.7500000000000001,1.25,1.0,1.5603199371065453e-16,28.071587721506756
1,20,l1,0.7500000000000001,1.25,1.0,1.5603199371065453e-16,6.894224325815837
10,9,euclidean,0.7500000000000001,1.25,1.0,1.5603199371065453e-16,27.129090627034504
20,20,euclidean,0.7500000000000001,1.25,1.0,1.5603199371065453e-16,4.5093653202056885
20,7,euclidean,0.7500000000000001,1.25,1.0,1.5603199371065453e-16,4.514575084050496
0.5,9,l1,0.7500000000000001,1.25,1.0,1.5603199371065453e-16,4.582261562347412
0.2,9,l2,0.7500000000000001,1.25,1.0,1.5603199371065453e-16,10.981823444366455
50,100,l1,0.7500000000000001,1.25,1.0,1.5603199371065453e-16,66.31264702479045
1,50,l2,0.7500000000000001,1.25,1.0,1.5603199371065453e-16,96.89407324790955
20,2,l2,0.7500000000000001,1.25,1.0,1.5603199371065453e-16,4.394809563954671
3,100,l1,0.7500000000000001,1.25,1.0,1.5603199371065453e-16,42.69316657384237
3,20,euclidean,0.7500000000000001,1.25,1.0,1.5603199371065453e-16,97.1804552078247
20,50,l1,0.21337759700263534,0.1735400094866326,0.4662373155341514,0.00035546598712199,66.40117915471394
20,20,l1,0.21337759700263534,0.1735400094866326,0.4662373155341514,0.00035546598712199,66.50011396408081
5,7,l1,0.03134214651184632,0.019088254823484516,0.06959850648580256,0.0053396782262518875,64.71407063802083
